场	chǎng	526	site
汤	tāng	527	soup
羊	yáng	528	sheep
美	měi	529	beautiful
洋	yáng	530	ocean
鲜	xiān	531	fresh
样	yàng	532	appearance
兰	lán	533	orchid
烂	làn	534	spoiled
差	chà	535	fall short of
着	zhe	536	-ing
养	yǎng	537	raise (v.)
集	jí	538	gather
准	zhǔn	539	standard (n.)
谁	shéi	540	who?
售	shòu	541	vend
午	wǔ	542	noon
许	xǔ	543	permit (v.)
羽	yǔ	544	feathers
习	xí	545	learn
翔	xiáng	546	soar
困	kùn	547	trapped
固	gù	548	solid
国	guó	549	country
圆	yuán	550	round
因	yīn	551	cause (n.)
烟	yān	552	smoke (n.)
园	yuán	553	park (n.)
回	huí	554	return (v.)
图	tú	555	picture (n.)
广	guǎng	556	extensive
店	diàn	557	store (n.)
库	kù	558	warehouse
裤	kù	559	trousers
床	chuáng	560	bed
麻	má	561	hemp
庄	zhuāng	562	hamlet
心	xīn	563	heart
忘	wàng	564	forget
忍	rěn	565	endure
总	zǒng	566	general (adj.)
态	tài	567	attitude
志	zhì	568	aspiration
思	sī	569	consider
恩	ēn	570	kindness
愿	yuàn	571	wish (n.)
意	yì	572	idea
想	xiǎng	573	think
息	xī	574	breath
恐	kǒng	575	fear (v.)
感	gǎn	576	feel (v.)
憾	hàn	577	regret (n.)
忧	yōu	578	worried
惊	jīng	579	startled
怕	pà	580	dread (v.)
忙	máng	581	busy (adj.)
惯	guàn	582	accustomed to
必	bì	583	certainly
手	shǒu	584	hand
看	kàn	585	look at
摩	mó	586	rub
拿	ná	587	hold (v.)
我	wǒ	588	I
抱	bào	589	embrace (v.)
抗	kàng	590	combat (v.)
批	pī	591	criticize
招	zhāo	592	beckon
打	dǎ	593	strike (v.)
指	zhǐ	594	finger (n.)
持	chí	595	support (v.)
担	dàn	596	assume
括	kuò	597	include
提	dī	598	bring up
挥	huī	599	brandish
推	tuī	600	push
搅	jiǎo	601	stir (v.)
执	zhí	602	clench
热	rè	603	heat (n. / v.)
接	jiē	604	welcome (v.)
挂	guà	605	hang
按	àn	606	press down on
掉	diào	607	drop (v.)
拉	lā	608	pull
啦	la	609	!!
找	zhǎo	610	look for
无	wú	611	nothing
抚	fǔ	612	comfort (v.)
开	kāi	613	open (v.)
研	yán	614	grind away (v.)
弄	nòng	615	play with
异	yì	616	different
鼻	bí	617	nose
刑	xíng	618	punishment
型	xíng	619	mold (v.)
才	cái	620	genius
财	cái	621	riches
团	tuán	622	troupe
存	cún	623	deposit (v.)
在	zài	624	at
乃	nǎi	625	only then
奶	nǎi	626	milk (n.)
及	jí	627	catch up with
吸	xī	628	inhale
极	jí	629	extreme (n.)
史	shǐ	630	history
更	gèng	631	even more
硬	yìng	632	hard
又	yòu	633	again
圣	shèng	634	holy
友	yǒu	635	friend
双	shuāng	636	pair
汉	hàn	637	Han
戏	xì	638	frolic (v.)
观	guān	639	observe
欢	huān	640	joyous
怪	guài	641	peculiar
对	duì	642	that's right
树	shù	643	timber
难	nán	644	difficult
